AAAAMMDD	tMin	tMax	tMoy	djuM	djuC	tag
20111229	-2.10	8.10	3.00	15.00	15.00	201112
20111230	-0.90	1.50	0.30	17.70	17.70	201112
20111231	0.80	4.40	2.60	15.40	15.40	201112
20120101	3.50	12.00	7.75	10.25	10.25	201201
20120102	1.50	6.00	3.75	14.25	14.25	201201
20120103	0.30	7.80	4.05	13.95	13.95	201201
20120104	-0.60	9.40	4.40	13.60	13.60	201201
20120105	-0.70	12.80	6.05	11.95	11.95	201201
20120106	2.70	5.10	3.90	14.10	14.10	201201
20120107	-1.80	3.10	0.65	17.35	17.35	201201
20120108	0.80	8.30	4.55	13.45	13.45	201201
20120109	-0.40	8.50	4.05	13.95	13.95	201201
20120110	-3.60	7.90	2.15	15.85	15.85	201201
20120111	-3.90	8.20	2.15	15.85	15.85	201201
20120112	-4.00	7.20	1.60	16.40	16.40	201201
20120113	-0.30	2.90	1.30	16.70	16.70	201201
20120114	-0.80	5.00	2.10	15.90	15.90	201201
20120115	-3.00	4.90	0.95	17.05	17.05	201201
20120116	-5.10	4.70	-0.20	18.20	18.20	201201
20120117	-5.60	4.70	-0.45	18.45	18.45	201201
20120118	-5.90	6.50	0.30	17.70	17.70	201201
20120119	-4.00	6.30	1.15	16.85	16.85	201201
20120120	2.10	7.40	4.75	13.25	13.25	201201
20120121	1.90	6.00	3.95	14.05	14.05	201201
20120122	3.90	11.50	7.70	10.30	10.30	201201
20120123	1.90	11.00	6.45	11.55	11.55	201201
20120124	4.80	11.80	8.30	9.70	9.70	201201
20120125	4.80	9.00	6.90	11.10	11.10	201201
20120126	-0.90	12.30	5.70	12.30	12.30	201201
20120127	5.50	7.40	6.45	11.55	11.55	201201
20120128	2.60	5.80	4.20	13.80	13.80	201201
20120129	3.30	4.90	4.10	13.90	13.90	201201
20120130	2.00	2.80	2.40	15.60	15.60	201201
20120131	-0.40	1.00	0.30	17.70	17.70	201201
20120201	-1.70	1.50	-0.10	18.10	18.10	201202
20120202	-2.60	-0.80	-1.70	19.70	19.70	201202
20120203	-5.60	-4.70	-5.15	23.15	23.15	201202
20120204	-9.00	-6.10	-7.55	25.55	25.55	201202
20120205	-12.90	-5.20	-9.05	27.05	27.05	201202
20120206	-12.00	-3.90	-7.95	25.95	25.95	201202
20120207	-9.70	-5.40	-7.55	25.55	25.55	201202
20120208	-7.60	-2.10	-4.85	22.85	22.85	201202
20120209	-8.20	-1.50	-4.85	22.85	22.85	201202
20120210	-8.00	-1.50	-4.75	22.75	22.75	201202
20120211	-6.40	-3.90	-5.15	23.15	23.15	201202
20120212	-6.10	-3.00	-4.55	22.55	22.55	201202
20120213	-7.70	-1.50	-4.60	22.60	22.60	201202
20120214	-9.20	3.40	-2.90	20.90	20.90	201202
20120215	-2.30	3.40	0.55	17.45	17.45	201202
20120216	0.50	9.50	5.00	13.00	13.00	201202
20120217	0.80	8.70	4.75	13.25	13.25	201202
20120218	-1.50	10.00	4.25	13.75	13.75	201202
20120219	-1.70	8.00	3.15	14.85	14.85	201202
20120220	-2.90	6.90	2.00	16.00	16.00	201202
20120221	-5.20	7.50	1.15	16.85	16.85	201202
20120222	-4.90	8.70	1.90	16.10	16.10	201202
20120223	-3.80	10.80	3.50	14.50	14.50	201202
20120224	-2.60	14.40	5.90	12.10	12.10	201202
20120225	-2.00	12.40	5.20	12.80	12.80	201202
20120226	2.90	14.30	8.60	9.40	9.40	201202
20120227	-2.50	12.30	4.90	13.10	13.10	201202
20120228	-3.00	13.90	5.45	12.55	12.55	201202
20120229	-2.30	16.60	7.15	10.85	10.85	201202
20120301	-0.80	20.40	9.80	8.20	8.51	201203
20120302	0.30	22.20	11.25	6.75	7.42	201203
20120303	0.30	19.40	9.85	8.15	8.31	201203
20120304	1.70	16.00	8.85	9.15	9.15	201203
20120305	4.60	9.50	7.05	10.95	10.95	201203
20120306	2.30	10.30	6.30	11.70	11.70	201203
20120307	-2.10	13.00	5.45	12.55	12.55	201203
20120308	4.80	9.80	7.30	10.70	10.70	201203
20120309	-1.80	12.70	5.45	12.55	12.55	201203
20120310	-2.10	13.60	5.75	12.25	12.25	201203
20120311	-1.50	16.30	7.40	10.60	10.60	201203
20120312	1.10	16.60	8.85	9.15	9.15	201203
20120313	-0.10	19.00	9.45	8.55	8.65	201203
20120314	0.50	20.90	10.70	7.30	7.71	201203
20120315	1.10	23.60	12.35	5.65	6.68	201203
20120316	2.10	20.90	11.50	6.50	6.92	201203
20120317	2.90	21.90	12.40	5.60	6.25	201203
20120318	3.70	14.10	8.90	9.10	9.10	201203
20120319	3.80	12.40	8.10	9.90	9.90	201203
20120320	1.10	14.80	7.95	10.05	10.05	201203
20120321	4.10	18.70	11.40	6.60	6.67	201203
20120322	4.00	20.60	12.30	5.70	6.08	201203
20120323	6.40	23.80	15.10	2.90	4.18	201203
20120324	4.00	22.00	13.00	5.00	5.69	201203
20120325	3.60	21.50	12.55	5.45	6.02	201203
20120326	3.90	22.50	13.20	4.80	5.62	201203
20120327	3.60	21.90	12.75	5.25	5.91	201203
20120328	3.40	23.20	13.30	4.70	5.69	201203
20120329	4.00	23.40	13.70	4.30	5.36	201203
20120330	7.00	22.90	14.95	3.05	4.08	201203
20120331	4.10	22.70	13.40	4.60	5.47	201203
20120401	4.40	17.30	10.85	7.15	7.15	201204
20120402	2.80	22.70	12.75	5.25	6.09	201204
20120403	7.90	21.30	14.60	3.40	4.01	201204
20120404	10.70	19.20	14.95	3.05	3.22	201204
20120405	10.00	18.90	14.45	3.55	3.66	201204
20120406	8.20	19.20	13.70	4.30	4.45	201204
20120407	5.20	16.90	11.05	6.95	6.95	201204
20120408	8.20	12.10	10.15	7.85	7.85	201204
20120409	-0.10	18.00	8.95	9.05	9.05	201204
20120410	5.00	19.40	12.20	5.80	5.97	201204
20120411	5.20	13.90	9.55	8.45	8.45	201204
20120412	6.70	17.70	12.20	5.80	5.80	201204
20120413	7.50	13.40	10.45	7.55	7.55	201204
20120414	7.50	10.20	8.85	9.15	9.15	201204
20120415	6.10	11.30	8.70	9.30	9.30	201204
20120416	6.10	7.60	6.85	11.15	11.15	201204
20120417	5.60	14.10	9.85	8.15	8.15	201204
20120418	6.60	15.90	11.25	6.75	6.75	201204
20120419	7.70	12.50	10.10	7.90	7.90	201204
20120420	6.30	16.10	11.20	6.80	6.80	201204
20120421	7.20	18.50	12.85	5.15	5.20	201204
20120422	6.10	15.80	10.95	7.05	7.05	201204
20120423	6.70	17.70	12.20	5.80	5.80	201204
20120424	6.90	12.00	9.45	8.55	8.55	201204
20120425	1.90	18.30	10.10	7.90	7.93	201204
20120426	16.10	24.80	20.45	0.00	0.33	201204
20120427	7.60	30.20	18.90	0.00	2.84	201204
20120428	9.80	31.10	20.45	0.00	1.98	201204
20120429	12.80	23.30	18.05	0.00	1.50	201204
20120430	6.60	20.00	13.30	4.70	4.99	201204
20120501	4.80	18.90	11.85	6.15	6.25	201205
20120502	10.70	21.00	15.85	2.15	2.76	201205
20120503	7.60	23.40	15.50	2.50	3.71	201205
20120504	7.40	23.40	15.40	2.60	3.80	201205
20120505	10.70	21.20	15.95	2.05	2.72	201205
20120506	9.80	21.60	15.70	2.30	3.05	201205
20120507	7.90	21.60	14.75	3.25	3.94	201205
20120508	7.10	18.80	12.95	5.05	5.14	201205
20120509	12.40	26.80	19.60	0.00	1.36	201205
20120510	11.30	30.40	20.85	0.00	1.52	201205
20120511	13.10	32.50	22.80	0.00	0.91	201205
20120512	15.50	22.20	18.85	0.00	0.59	201205
20120513	11.60	19.20	15.40	2.60	2.78	201205
20120514	4.80	21.50	13.15	4.85	5.44	201205
20120515	7.10	19.60	13.35	4.65	4.86	201205
20120516	6.80	15.60	11.20	6.80	6.80	201205
20120517	2.00	22.30	12.15	5.85	6.58	201205
20120518	11.10	22.20	16.65	1.35	2.35	201205
20120519	10.70	26.40	18.55	0.00	2.01	201205
20120520	10.70	23.00	16.85	1.15	2.40	201205
20120521	12.20	14.80	13.50	4.50	4.50	201205
20120522	11.10	16.50	13.80	4.20	4.20	201205
20120523	12.10	21.80	16.95	1.05	1.98	201205
20120524	16.40	27.10	21.75	0.00	0.23	201205
20120525	14.10	28.80	21.45	0.00	0.75	201205
20120526	14.60	28.80	21.70	0.00	0.61	201205
20120527	15.60	23.00	19.30	0.00	0.52	201205
20120528	11.00	26.60	18.80	0.00	1.88	201205
20120529	11.40	28.00	19.70	0.00	1.63	201205
20120530	12.70	29.20	20.95	0.00	1.14	201205
20120531	15.70	27.70	21.70	0.00	0.37	201205
20120601	14.10	28.70	21.40	0.00	0.75	0
20120602	14.60	32.00	23.30	0.00	0.55	0
20120603	16.10	23.20	19.65	0.00	0.37	0
20120604	13.20	20.90	17.05	0.95	1.64	0
20120605	12.60	24.70	18.65	0.00	1.44	0
20120606	12.30	20.50	16.40	1.60	2.12	0
20120607	13.90	30.20	22.05	0.00	0.76	0
20120608	15.30	18.90	17.10	0.90	1.07	0
20120609	11.40	23.20	17.30	0.70	2.08	0
20120610	12.90	20.30	16.60	1.40	1.88	0
20120611	14.10	24.70	19.40	0.00	0.91	0
20120612	12.60	19.20	15.90	2.10	2.29	0
20120613	11.90	19.90	15.90	2.10	2.44	0
20120614	7.90	25.70	16.80	1.20	3.21	0
20120615	11.00	29.90	20.45	0.00	1.65	0
20120616	12.90	32.00	22.45	0.00	0.98	0
20120617	13.60	30.30	21.95	0.00	0.84	0
20120618	16.50	29.20	22.85	0.00	0.19	0
20120619	15.30	23.70	19.50	0.00	0.58	0
20120620	18.30	28.80	23.55	0.00	0.00	0
20120621	17.70	31.10	24.40	0.00	0.03	0
20120622	17.10	25.60	21.35	0.00	0.11	0
20120623	12.80	27.00	19.90	0.00	1.22	0
20120624	13.40	29.20	21.30	0.00	0.93	0
20120625	18.70	26.60	22.65	0.00	0.00	0
20120626	17.90	28.50	23.20	0.00	0.01	0
20120627	17.50	30.80	24.15	0.00	0.05	0
20120628	17.80	34.40	26.10	0.00	0.02	0
20120629	17.90	35.00	26.45	0.00	0.01	0
20120630	16.10	31.90	24.00	0.00	0.25	0
20120701	17.20	21.90	19.55	0.00	0.12	0
20120702	14.20	18.80	16.50	1.50	1.62	0
20120703	15.70	27.20	21.45	0.00	0.38	0
20120704	14.40	30.00	22.20	0.00	0.64	0
20120705	18.30	27.30	22.80	0.00	0.00	0
20120706	17.80	25.70	21.75	0.00	0.02	0
20120707	14.00	30.80	22.40	0.00	0.72	0
20120708	17.50	29.30	23.40	0.00	0.05	0
20120709	16.10	29.60	22.85	0.00	0.26	0
20120710	14.60	27.60	21.10	0.00	0.65	0
20120711	15.60	25.70	20.65	0.00	0.43	0
20120712	14.70	24.50	19.60	0.00	0.73	0
20120713	15.00	28.40	21.70	0.00	0.52	0
20120714	17.80	26.10	21.95	0.00	0.02	0
20120715	14.50	23.20	18.85	0.00	0.87	0
20120716	10.80	24.30	17.55	0.45	2.19	0
20120717	10.60	27.60	19.10	0.00	1.94	0
20120718	12.60	31.50	22.05	0.00	1.08	0
20120719	14.50	30.10	22.30	0.00	0.61	0
20120720	16.50	26.40	21.45	0.00	0.22	0
20120721	16.60	24.10	20.35	0.00	0.22	0
20120722	12.10	24.90	18.50	0.00	1.61	0
20120723	10.00	25.90	17.95	0.05	2.33	0
20120724	12.80	31.10	21.95	0.00	1.04	0
20120725	16.30	32.80	24.55	0.00	0.21	0
20120726	15.60	33.50	24.55	0.00	0.33	0
20120727	17.40	34.10	25.75	0.00	0.06	0
20120728	19.50	27.00	23.25	0.00	0.00	0
20120729	17.80	28.50	23.15	0.00	0.02	0
20120730	13.80	29.80	21.80	0.00	0.80	0
20120731	13.00	31.20	22.10	0.00	0.98	0
20120801	13.90	32.70	23.30	0.00	0.70	0
20120802	16.60	30.80	23.70	0.00	0.17	0
20120803	17.40	30.40	23.90	0.00	0.06	0
20120804	13.80	31.10	22.45	0.00	0.76	0
20120805	17.70	26.20	21.95	0.00	0.03	0
20120806	18.10	22.30	20.20	0.00	0.00	0
20120807	11.60	27.60	19.60	0.00	1.59	0
20120808	12.20	27.90	20.05	0.00	1.36	0
20120809	13.70	29.20	21.45	0.00	0.85	0
20120810	13.80	29.60	21.70	0.00	0.80	0
20120811	14.40	30.40	22.40	0.00	0.63	0
20120812	13.80	29.00	21.40	0.00	0.82	0
20120813	15.70	28.20	21.95	0.00	0.36	0
20120814	14.70	31.10	22.90	0.00	0.54	0
20120815	15.10	34.60	24.85	0.00	0.41	0
20120816	18.40	27.20	22.80	0.00	0.00	0
20120817	14.50	31.40	22.95	0.00	0.58	0
20120818	15.00	35.10	25.05	0.00	0.43	0
20120819	16.50	36.40	26.45	0.00	0.17	0
20120820	17.90	36.20	27.05	0.00	0.01	0
20120821	18.50	35.80	27.15	0.00	0.00	0
20120822	19.30	34.70	27.00	0.00	0.00	0
20120823	17.90	32.60	25.25	0.00	0.01	0
20120824	20.60	31.70	26.15	0.00	0.00	0
20120825	20.30	28.80	24.55	0.00	0.00	0
20120826	14.30	24.40	19.35	0.00	0.87	0
20120827	9.60	28.00	18.80	0.00	2.28	0
20120828	13.00	25.20	19.10	0.00	1.26	0
20120829	13.00	28.50	20.75	0.00	1.08	0
20120830	17.00	22.70	19.85	0.00	0.15	0
20120831	11.60	14.20	12.90	5.10	5.10	0
20120901	11.40	12.90	12.15	5.85	5.85	0
20120902	9.70	20.10	14.90	3.10	3.45	0
20120903	11.00	22.10	16.55	1.45	2.41	0
20120904	14.40	21.80	18.10	0.00	1.02	0
20120905	16.70	23.40	20.05	0.00	0.21	0
20120906	14.30	26.30	20.30	0.00	0.78	0
20120907	14.30	28.10	21.20	0.00	0.71	0
20120908	13.90	29.20	21.55	0.00	0.79	0
20120909	15.10	30.40	22.75	0.00	0.46	0
20120910	13.70	29.10	21.40	0.00	0.85	0
20120911	13.90	29.20	21.55	0.00	0.79	0
20120912	13.60	19.30	16.45	1.55	1.78	0
20120913	9.90	20.10	15.00	3.00	3.35	0
20120914	7.60	21.90	14.75	3.25	4.01	0
20120915	7.60	22.50	15.05	2.95	3.88	0
20120916	8.70	25.90	17.30	0.70	2.86	0
20120917	11.10	25.90	18.50	0.00	1.90	0
20120918	10.40	23.00	16.70	1.30	2.53	0
20120919	14.00	19.40	16.70	1.30	1.56	0
20120920	5.90	20.20	13.05	4.95	5.27	0
20120921	6.80	26.50	16.65	1.35	3.57	201209
20120922	13.50	24.40	18.95	0.00	1.14	201209
20120923	11.60	25.20	18.40	0.00	1.78	201209
20120924	15.40	21.30	18.35	0.00	0.69	201209
20120925	8.40	23.90	16.15	1.85	3.27	201209
20120926	12.60	24.10	18.35	0.00	1.50	201209
20120927	5.80	21.80	13.80	4.20	4.88	201209
20120928	6.40	21.20	13.80	4.20	4.75	201209
20120929	12.90	16.40	14.65	3.35	3.35	201209
20120930	13.30	16.90	15.10	2.90	2.90	201209
20121001	13.20	17.90	15.55	2.45	2.45	201210
20121002	13.70	22.20	17.95	0.05	1.26	201210
20121003	7.40	23.50	15.45	2.55	3.78	201210
20121004	9.70	21.70	15.70	2.30	3.08	201210
20121005	8.20	24.60	16.40	1.60	3.24	201210
20121006	7.90	23.20	15.55	2.45	3.61	201210
20121007	15.20	20.10	17.65	0.35	0.90	201210
20121008	11.90	20.10	16.00	2.00	2.39	201210
20121009	15.10	21.20	18.15	0.00	0.81	201210
20121010	12.10	19.60	15.85	2.15	2.42	201210
20121011	11.00	19.90	15.45	2.55	2.87	201210
20121012	11.80	16.00	13.90	4.10	4.10	201210
20121013	7.40	18.90	13.15	4.85	4.95	201210
20121014	5.90	17.30	11.60	6.40	6.40	201210
20121015	6.40	12.70	9.55	8.45	8.45	201210
20121016	0.80	15.00	7.90	10.10	10.10	201210
20121017	6.60	22.00	14.30	3.70	4.46	201210
20121018	10.50	22.20	16.35	1.65	2.62	201210
20121019	9.50	19.30	14.40	3.60	3.78	201210
20121020	8.90	23.00	15.95	2.05	3.19	201210
20121021	9.50	20.50	15.00	3.00	3.44	201210
20121022	12.60	22.60	17.60	0.40	1.66	201210
20121023	9.40	22.70	16.05	1.95	3.02	201210
20121024	13.70	21.30	17.50	0.50	1.37	201210
20121025	11.90	19.80	15.85	2.15	2.47	201210
20121026	10.50	14.40	12.45	5.55	5.55	201210
20121027	4.30	12.00	8.15	9.85	9.85	201210
20121028	1.10	5.10	3.10	14.90	14.90	201210
20121029	0.80	8.40	4.60	13.40	13.40	201210
20121030	-2.60	10.90	4.15	13.85	13.85	201210
20121031	-1.90	6.00	2.05	15.95	15.95	201210
20121101	2.30	13.80	8.05	9.95	9.95	201211
20121102	7.50	18.40	12.95	5.05	5.09	201211
20121103	6.10	19.60	12.85	5.15	5.36	201211
20121104	10.10	14.80	12.45	5.55	5.55	201211
20121105	6.90	13.50	10.20	7.80	7.80	201211
20121106	5.90	11.40	8.65	9.35	9.35	201211
20121107	0.90	11.80	6.35	11.65	11.65	201211
20121108	-0.40	10.30	4.95	13.05	13.05	201211
20121109	1.60	14.00	7.80	10.20	10.20	201211
20121110	8.50	13.50	11.00	7.00	7.00	201211
20121111	8.80	12.50	10.65	7.35	7.35	201211
20121112	8.70	10.60	9.65	8.35	8.35	201211
20121113	6.00	13.00	9.50	8.50	8.50	201211
20121114	1.10	13.30	7.20	10.80	10.80	201211
20121115	0.60	15.40	8.00	10.00	10.00	201211
20121116	0.90	8.80	4.85	13.15	13.15	201211
20121117	1.30	10.00	5.65	12.35	12.35	201211
20121118	-0.60	13.40	6.40	11.60	11.60	201211
20121119	-1.90	10.90	4.50	13.50	13.50	201211
20121120	-2.40	10.80	4.20	13.80	13.80	201211
20121121	-2.00	6.80	2.40	15.60	15.60	201211
20121122	3.90	13.90	8.90	9.10	9.10	201211
20121123	1.60	12.20	6.90	11.10	11.10	201211
20121124	5.50	16.20	10.85	7.15	7.15	201211
20121125	8.60	10.90	9.75	8.25	8.25	201211
20121126	8.80	18.20	13.50	4.50	4.52	201211
20121127	5.50	6.20	5.85	12.15	12.15	201211
20121128	0.30	5.20	2.75	15.25	15.25	201211
20121129	3.70	5.50	4.60	13.40	13.40	201211
20121130	-0.40	6.50	3.05	14.95	14.95	201211
20121201	2.40	3.90	3.15	14.85	14.85	201212
20121202	-2.30	0.90	-0.70	18.70	18.70	201212
20121203	-3.60	2.10	-0.75	18.75	18.75	201212
20121204	0.20	7.40	3.80	14.20	14.20	201212
20121205	1.80	4.80	3.30	14.70	14.70	201212
20121206	-0.80	5.20	2.20	15.80	15.80	201212
20121207	-1.10	2.20	0.55	17.45	17.45	201212
20121208	0.40	2.80	1.60	16.40	16.40	201212
20121209	-2.70	3.30	0.30	17.70	17.70	201212
20121210	-3.10	0.70	-1.20	19.20	19.20	201212
20121211	-2.30	3.30	0.50	17.50	17.50	201212
20121212	-6.90	-0.50	-3.70	21.70	21.70	201212
20121213	-6.30	3.20	-1.55	19.55	19.55	201212
20121214	1.00	11.80	6.40	11.60	11.60	201212
20121215	5.70	7.90	6.80	11.20	11.20	201212
20121216	4.50	9.20	6.85	11.15	11.15	201212
20121217	4.70	7.90	6.30	11.70	11.70	201212
20121218	4.40	7.10	5.75	12.25	12.25	201212
20121219	1.30	5.90	3.60	14.40	14.40	201212
20121220	-1.30	4.70	1.70	16.30	16.30	201212
20121221	2.20	7.70	4.95	13.05	13.05	201212
20121222	0.90	6.10	3.50	14.50	14.50	201212
20121223	1.50	12.90	7.20	10.80	10.80	201212
20121224	-1.10	9.30	4.10	13.90	13.90	201212
20121225	1.20	7.40	4.30	13.70	13.70	201212
20121226	4.70	12.20	8.45	9.55	9.55	201212
20121227	-0.10	12.20	6.05	11.95	11.95	201212
20121228	3.00	10.60	6.80	11.20	11.20	201212
20121229	-2.60	12.30	4.85	13.15	13.15	201212
20121230	-0.10	11.60	5.75	12.25	12.25	201212
20121231	-3.10	9.10	3.00	15.00	15.00	201212
20130101	-1.80	5.40	1.80	16.20	16.20	201301
20130102	1.00	8.80	4.90	13.10	13.10	201301
20130103	-2.30	7.10	2.40	15.60	15.60	201301
20130104	-3.50	8.10	2.30	15.70	15.70	201301
20130105	-1.00	9.90	4.45	13.55	13.55	201301
20130106	2.40	8.90	5.65	12.35	12.35	201301
20130107	1.30	6.70	4.00	14.00	14.00	201301
20130108	0.90	6.40	3.65	14.35	14.35	201301
20130109	-2.50	1.00	-0.75	18.75	18.75	201301
20130110	0.10	2.70	1.40	16.60	16.60	201301
20130111	1.50	4.70	3.10	14.90	14.90	201301
20130112	-0.50	4.80	2.15	15.85	15.85	201301
20130113	0.80	5.40	3.10	14.90	14.90	201301
20130114	2.30	4.80	3.55	14.45	14.45	201301
20130115	-1.50	1.00	-0.25	18.25	18.25	201301
20130116	-5.50	2.20	-1.65	19.65	19.65	201301
20130117	-8.20	-0.70	-4.45	22.45	22.45	201301
20130118	-7.70	-0.80	-4.25	22.25	22.25	201301
20130119	-2.80	2.80	0.00	18.00	18.00	201301
20130120	1.70	6.30	4.00	14.00	14.00	201301
20130121	-0.20	3.60	1.70	16.30	16.30	201301
20130122	-0.40	7.20	3.40	14.60	14.60	201301
20130123	-2.10	3.30	0.60	17.40	17.40	201301
20130124	-3.40	2.40	-0.50	18.50	18.50	201301
20130125	0.50	3.60	2.05	15.95	15.95	201301
20130126	-4.90	4.70	-0.10	18.10	18.10	201301
20130127	-5.00	4.30	-0.35	18.35	18.35	201301
20130128	0.80	8.80	4.80	13.20	13.20	201301
20130129	-2.20	7.10	2.45	15.55	15.55	201301
20130130	-1.20	14.40	6.60	11.40	11.40	201301
20130131	0.70	12.30	6.50	11.50	11.50	201301
20130201	3.90	12.00	7.95	10.05	10.05	201302
20130202	4.70	7.40	6.05	11.95	11.95	201302
20130203	1.80	6.70	4.25	13.75	13.75	201302
20130204	-1.10	4.00	1.45	16.55	16.55	201302
20130205	2.00	13.60	7.80	10.20	10.20	201302
20130206	0.40	2.10	1.25	16.75	16.75	201302
20130207	-3.40	4.10	0.35	17.65	17.65	201302
20130208	-4.10	4.60	0.25	17.75	17.75	201302
20130209	-4.20	4.10	-0.05	18.05	18.05	201302
20130210	-6.00	1.80	-2.10	20.10	20.10	201302
20130211	-0.90	1.70	0.40	17.60	17.60	201302
20130212	-0.20	3.70	1.75	16.25	16.25	201302
20130213	0.20	2.20	1.20	16.80	16.80	201302
20130214	-3.80	3.20	-0.30	18.30	18.30	201302
20130215	-0.30	6.00	2.85	15.15	15.15	201302
20130216	-3.80	5.50	0.85	17.15	17.15	201302
20130217	-6.20	5.80	-0.20	18.20	18.20	201302
20130218	-2.80	5.70	1.45	16.55	16.55	201302
20130219	-5.40	8.20	1.40	16.60	16.60	201302
20130220	-4.60	9.20	2.30	15.70	15.70	201302
20130221	-1.90	4.20	1.15	16.85	16.85	201302
20130222	-0.30	2.70	1.20	16.80	16.80	201302
20130223	-1.60	0.70	-0.45	18.45	18.45	201302
20130224	-1.80	1.70	-0.05	18.05	18.05	201302
20130225	-2.80	3.70	0.45	17.55	17.55	201302
20130226	-3.50	5.10	0.80	17.20	17.20	201302
20130227	-5.30	6.90	0.80	17.20	17.20	201302
20130228	-4.20	10.60	3.20	14.80	14.80	201302
20130301	-2.40	8.00	2.80	15.20	15.20	201303
20130302	0.40	7.20	3.80	14.20	14.20	201303
20130303	-3.80	10.40	3.30	14.70	14.70	201303
20130304	-3.10	13.80	5.35	12.65	12.65	201303
20130305	-1.20	15.30	7.05	10.95	10.95	201303
20130306	3.10	17.30	10.20	7.80	7.80	201303
20130307	5.90	19.50	12.70	5.30	5.49	201303
20130308	6.10	11.00	8.55	9.45	9.45	201303
20130309	4.50	14.20	9.35	8.65	8.65	201303
20130310	0.10	17.40	8.75	9.25	9.25	201303
20130311	7.20	16.90	12.05	5.95	5.95	201303
20130312	5.50	14.90	10.20	7.80	7.80	201303
20130313	3.80	5.00	4.40	13.60	13.60	201303
20130314	0.90	6.70	3.80	14.20	14.20	201303
20130315	-0.80	6.60	2.90	15.10	15.10	201303
20130316	-5.00	14.40	4.70	13.30	13.30	201303
20130317	7.80	10.50	9.15	8.85	8.85	201303
20130318	0.20	7.60	3.90	14.10	14.10	201303
20130319	2.30	14.40	8.35	9.65	9.65	201303
20130320	3.40	11.00	7.20	10.80	10.80	201303
20130321	-0.10	14.10	7.00	11.00	11.00	201303
20130322	0.30	18.10	9.20	8.80	8.81	201303
20130323	4.60	15.00	9.80	8.20	8.20	201303
20130324	7.00	9.60	8.30	9.70	9.70	201303
20130325	4.30	9.70	7.00	11.00	11.00	201303
20130326	5.30	9.90	7.60	10.40	10.40	201303
20130327	4.30	16.50	10.40	7.60	7.60	201303
20130328	4.30	7.00	5.65	12.35	12.35	201303
20130329	5.70	10.70	8.20	9.80	9.80	201303
20130330	6.10	11.80	8.95	9.05	9.05	201303
20130331	5.50	10.80	8.15	9.85	9.85	201303
20130401	-0.10	12.90	6.40	11.60	11.60	201304
20130402	3.00	15.10	9.05	8.95	8.95	201304
20130403	3.60	16.00	9.80	8.20	8.20	201304
20130404	3.10	12.60	7.85	10.15	10.15	201304
20130405	5.90	12.50	9.20	8.80	8.80	201304
20130406	5.70	9.70	7.70	10.30	10.30	201304
20130407	5.50	11.00	8.25	9.75	9.75	201304
20130408	4.70	10.60	7.65	10.35	10.35	201304
20130409	3.80	12.10	7.95	10.05	10.05	201304
20130410	5.90	18.50	12.20	5.80	5.85	201304
20130411	9.80	21.30	15.55	2.45	3.11	201304
20130412	7.60	19.50	13.55	4.45	4.65	201304
20130413	4.00	22.30	13.15	4.85	5.62	201304
20130414	5.30	26.60	15.95	2.05	4.20	201304
20130415	6.50	26.10	16.30	1.70	3.75	201304
20130416	10.30	25.70	18.00	0.00	2.23	201304
20130417	9.20	28.80	19.00	0.00	2.36	201304
20130418	9.60	28.40	19.00	0.00	2.25	201304
20130419	8.10	13.00	10.55	7.45	7.45	201304
20130420	5.50	11.00	8.25	9.75	9.75	201304
20130421	7.30	11.60	9.45	8.55	8.55	201304
20130422	9.00	16.10	12.55	5.45	5.45	201304
20130423	7.60	20.60	14.10	3.90	4.33	201304
20130424	6.00	25.20	15.60	2.40	4.11	201304
20130425	7.80	28.20	18.00	0.00	2.96	201304
20130426	13.90	20.10	17.00	1.00	1.47	201304
20130427	3.30	11.60	7.45	10.55	10.55	201304
20130428	3.40	9.60	6.50	11.50	11.50	201304
20130429	7.40	13.00	10.20	7.80	7.80	201304
20130430	9.40	19.80	14.60	3.40	3.67	201304
20130501	11.90	19.40	15.65	2.35	2.57	201305
20130502	8.90	22.50	15.70	2.30	3.29	201305
20130503	9.60	17.40	13.50	4.50	4.50	201305
20130504	6.60	20.20	13.40	4.60	4.93	201305
20130505	11.20	20.20	15.70	2.30	2.70	201305
20130506	13.00	19.70	16.35	1.65	1.97	201305
20130507	7.20	21.70	14.45	3.55	4.24	201305
20130508	7.40	26.10	16.75	1.25	3.37	201305
20130509	14.80	23.00	18.90	0.00	0.78	201305
20130510	12.40	13.80	13.10	4.90	4.90	201305
20130511	10.60	17.60	14.10	3.90	3.90	201305
20130512	7.90	16.20	12.05	5.95	5.95	201305
20130513	4.60	22.30	13.45	4.55	5.33	201305
20130514	7.50	25.70	16.60	1.40	3.38	201305
20130515	14.30	16.80	15.55	2.45	2.45	201305
20130516	9.40	12.20	10.80	7.20	7.20	201305
20130517	8.80	17.00	12.90	5.10	5.10	201305
20130518	6.40	15.60	11.00	7.00	7.00	201305
20130519	5.70	17.70	11.70	6.30	6.30	201305
20130520	7.30	20.60	13.95	4.05	4.47	201305
20130521	8.70	18.20	13.45	4.55	4.57	201305
20130522	10.90	14.90	12.90	5.10	5.10	201305
20130523	6.40	18.00	12.20	5.80	5.80	201305
20130524	5.90	13.30	9.60	8.40	8.40	201305
20130525	4.80	13.30	9.05	8.95	8.95	201305
20130526	5.90	16.70	11.30	6.70	6.70	201305
